,Lp.,Przystanek
648,CZUMY 01  ,TAK
649,CZUMY 02  ,TAK
650,CZUMY 05  ,TAK
651,CZUMY 06  ,TAK
652,CZYNSZOWA 01  ,NIE
653,ŁĄCZYNY 02  ,NIE
654,DALIBORA 01  ,NIE
655,DALIBORA 02  ,NIE
656,DALIBORA 03  ,NIE
657,DALIBORA 04  ,NIE
658,DALIBORA 05  ,NIE
659,DANISZEWSKA 01  ,NIE
660,DANISZEWSKA 02  ,NIE
661,DANKOWICKA 01  ,NIE
662,DANKOWICKA 02  ,NIE
663,DANUSI 01  ,NIE
664,DANUSI 02  ,NIE
665,DARWINA 02  ,NIE
666,DĄBROWSKIEGO 01  ,NIE
667,DĄBROWSKIEGO 02  ,NIE
668,DĄBROWSZCZAKÓW 01  ,NIE
669,DĄBROWSZCZAKÓW 02  ,NIE
670,DĄBRÓWKA 01  ,NIE
671,DĄBRÓWKA 02  ,NIE
672,DĄBRÓWKA SZLACHECKA 01  ,TAK
673,DĄBRÓWKA SZLACHECKA 02  ,TAK
674,DĄBRÓWKA WIŚLANA 01  ,NIE
675,DĄBRÓWKA WIŚLANA 02  ,NIE
676,DĄBRÓWKA WIŚLANA 04  ,TAK
677,DEOTYMY 01  ,NIE
678,DEOTYMY 02  ,NIE
679,DEOTYMY 03  ,NIE
680,DEOTYMY 04  ,NIE
681,DH SMYK 01  ,NIE
682,DH SMYK 02  ,NIE
683,DH SMYK 03  ,NIE
684,DH SMYK 04  ,NIE
685,DH SMYK 05  ,NIE
686,DH SMYK 06  ,NIE
687,DIAMENTOWA 02  ,NIE
688,DICKENSA 01  ,NIE
689,DICKENSA 02  ,NIE
690,DICKENSA 03  ,NIE
691,DICKENSA 04  ,NIE
692,DICKENSA 05  ,NIE
693,DICKENSA 06  ,NIE
694,DKS TARGÓWEK 01  ,NIE
695,DKS TARGÓWEK 02  ,NIE
696,DKS TARGÓWEK 53  ,NIE
697,DOBKA Z OLEŚNICY 01  ,NIE
698,DOBKA Z OLEŚNICY 02  ,NIE
699,DOBRA 01  ,NIE
700,DOBRA 02  ,NIE
701,DOJAZDOWA 01  ,NIE
702,DOJAZDOWA 02  ,NIE
703,DOLINA SŁUŻEWIECKA 01  ,NIE
704,DOLINA SŁUŻEWIECKA 02  ,NIE
705,DOLINA SŁUŻEWIECKA 03  ,NIE
706,DOLINA SŁUŻEWIECKA 04  ,NIE
707,DOLNA 01  ,NIE
708,DOLNA 02  ,NIE
709,DOLNA 03  ,NIE
710,DOLNA 04  ,NIE
711,DOMANIEWSKA 01  ,NIE
712,DOMANIEWSKA 02  ,NIE
713,DOMANIEWSKA 03  ,NIE
714,DOMANIEWSKA 04  ,NIE
715,DOM ARTYSTÓW 01  ,NIE
716,DOM ARTYSTÓW 02  ,NIE
717,DOMINIKAŃSKA 01  ,NIE
718,DOMINIKAŃSKA 02  ,NIE
719,DOM KULTURY 01  ,NIE
720,DRACENY 01  ,NIE
721,DRACENY 02  ,NIE
722,DROBIARSKA 01  ,NIE
723,DROBIARSKA 02  ,NIE
724,DROGOWA 01  ,TAK
725,DROGOWA 02  ,TAK
726,DROGOWCÓW 01  ,NIE
727,DROGOWCÓW 02  ,NIE
728,DROHICKA 01  ,NIE
729,DROHICKA 02  ,NIE
730,DROHOBYCKA 01  ,NIE
731,DROHOBYCKA 02,NIE
732,DRZEWIECKIEGO 01  ,NIE
733,DRZEWIECKIEGO 02  ,NIE
734,DS RIVIERA 01  ,NIE
735,DS RIVIERA 02  ,NIE
736,DT WOLA 01  ,NIE
737,DT WOLA 02  ,NIE
738,DT WOLA 03  ,NIE
739,DT WOLA 04  ,NIE
740,DT WOLA 06  ,NIE
741,DUCHNICKA 01  ,NIE
742,DUCHNICKA 02  ,NIE
743,DUCHNÓW 03  ,NIE
744,DŁUGA 01  ,NIE
745,DŁUGA 01  ,NIE
746,DŁUGA 02  ,NIE
747,DŁUGA 02  ,NIE
748,DŁUGORZECZNA 01  ,NIE
749,DŁUGORZECZNA 02  ,NIE
750,DŁUGOSZA 01  ,NIE
751,DŁUGOSZA 02  ,NIE
752,DUNIKOWSKIEGO 01  ,NIE
753,DUNIKOWSKIEGO 02  ,NIE
754,DUNIKOWSKIEGO 04  ,NIE
755,DURACZA 01  ,NIE
756,DURACZA 03  ,NIE
757,DURACZA 04  ,NIE
758,DW.CENTRALNY 01  ,NIE
759,DW.CENTRALNY 02  ,NIE
760,DW.CENTRALNY 03  ,NIE
761,DW.CENTRALNY 04  ,NIE
762,DW.CENTRALNY 05  ,NIE
763,DW.CENTRALNY 06  ,NIE
764,DW.CENTRALNY 07  ,NIE
765,DW.CENTRALNY 08  ,NIE
766,DW.CENTRALNY 09  ,NIE
767,DW.CENTRALNY 10  ,NIE
768,DW.CENTRALNY 17  ,NIE
769,DW.CENTRALNY 18  ,NIE
770,DW.CENTRALNY 20  ,NIE
771,DW.CENTRALNY 26  ,NIE
772,DW.CENTRALNY 31  ,NIE
773,DW.CENTRALNY 33  ,NIE
774,DW.CENTRALNY 34  ,NIE
775,DW.CENTRALNY 35  ,NIE
776,DW.CENTRALNY 36  ,NIE
777,DW.CENTRALNY 37  ,NIE
778,DW.CENTRALNY 38  ,NIE
779,DW.CENTRALNY 39  ,NIE
780,DW.CENTRALNY 40  ,NIE
781,DW.CENTRALNY 60  ,NIE
782,DWERNICKIEGO 01  ,NIE
783,DWERNICKIEGO 02  ,NIE
784,DWERNICKIEGO 04  ,NIE
785,DW.GDAŃSKI 03  ,NIE
786,DW.GDAŃSKI 04  ,NIE
787,DW.GDAŃSKI 07  ,NIE
788,DW.GDAŃSKI 08  ,NIE
789,DWORCOWA 01,NIE
790,DWORCOWA 01  ,NIE
791,DWORCOWA 02,NIE
792,DWORKOWA 01  ,NIE
793,DWORKOWA 01  ,NIE
794,DWORKOWA 02  ,NIE
795,DWORKOWA 02  ,NIE
796,DWORKOWA 04  ,NIE
797,DWORKOWA 05  ,NIE
798,DWORKOWA 06  ,NIE
799,DW.WILEŃSKI 01  ,NIE
800,DW.WILEŃSKI 04  ,NIE
801,DW.WILEŃSKI 05  ,NIE
802,DW.WILEŃSKI 07  ,NIE
803,DW.WILEŃSKI 08  ,NIE
804,DW.WILEŃSKI 09  ,NIE
805,DW.WILEŃSKI 10  ,NIE
806,DW.WILEŃSKI 11  ,NIE
807,DW.WILEŃSKI 12  ,NIE
808,DW.WILEŃSKI 13  ,NIE
809,DW.WSCHODNI (KIJOWSKA) 01  ,NIE
810,DW.WSCHODNI (KIJOWSKA) 02  ,NIE
811,DW.WSCHODNI (KIJOWSKA) 04  ,NIE
812,DW.WSCHODNI (KIJOWSKA) 05  ,NIE
813,DW.WSCHODNI (KIJOWSKA) 06  ,NIE
814,DW.WSCHODNI (KIJOWSKA) 07  ,NIE
815,DW.WSCHODNI (KIJOWSKA) 08  ,NIE
816,DW.WSCHODNI (KIJOWSKA) 09  ,NIE
817,DW.WSCHODNI (KIJOWSKA) 11  ,NIE
818,DW.WSCHODNI (KIJOWSKA) 12  ,NIE
819,DW.WSCHODNI (LUBELSKA) 01  ,NIE
820,DW.WSCHODNI (LUBELSKA) 02  ,NIE
821,DW.WSCHODNI (LUBELSKA) 03  ,NIE
822,DW.ZACHODNI 01  ,NIE
823,DW.ZACHODNI 02  ,NIE
824,DW.ZACHODNI 03  ,NIE
825,DW.ZACHODNI 04  ,NIE
826,DW.ZACHODNI 06  ,NIE
827,DW.ZACHODNI 07  ,NIE
828,DW.ZACHODNI (TUNELOWA) 01  ,NIE
829,DYGASIŃSKIEGO 01,NIE
830,DYREKCJA FSO 01  ,NIE
831,DYREKCJA FSO 02  ,NIE
832,DYREKCJA FSO 03  ,NIE
833,DYREKCJA FSO 04  ,NIE
834,DYWIZJONU 303 01  ,NIE
835,DYWIZJONU 303 02  ,NIE
836,DZIAŁKOWA 01  ,NIE
837,DZIAŁKOWA 02  ,NIE
838,DZIAŁYŃCZYKÓW 02  ,NIE
839,DZIECHCINIEC 01  ,NIE
840,DZIECHCINIEC 02  ,NIE
841,DZIECHCINIEC-KOLONIA 01  ,NIE
842,DZIECHCINIEC-KOLONIA 02  ,NIE
843,DZIECHCINIEC-SKLEP 02  ,NIE
844,DZIECI WARSZAWY 01  ,NIE
845,DZIECI WARSZAWY 02  ,NIE
846,DZIECI WARSZAWY 04  ,NIE
847,DZIELNA 02  ,NIE
848,DZIELNICOWA 01  ,NIE
849,DZIELNICOWA 02  ,NIE
850,DZIERŻONIOWSKA 01  ,NIE
851,DZIERŻONIOWSKA 04  ,NIE
852,DZIERZGOŃSKA 01  ,TAK
853,DZIERZGOŃSKA 02  ,TAK
854,DZIEWANOWSKA 01  ,NIE
855,DZIEWANOWSKA 02  ,NIE
856,DZIKA 01  ,NIE
857,DZIKA 02  ,NIE
858,DZIKA 03  ,NIE
859,DZIKA 04  ,NIE
860,EC ŻERAŃ 51  ,NIE
861,ECHA LEŚNE 01  ,NIE
862,ECHA LEŚNE 02  ,NIE
863,EC KAWĘCZYN 01  ,NIE
864,EC KAWĘCZYN 02  ,NIE
865,EC SIEKIERKI 01  ,NIE
866,EC SIEKIERKI 02  ,NIE
867,EC SIEKIERKI 03  ,NIE
868,EC SIEKIERKI 04  ,NIE
869,EDISONA 01  ,NIE
870,EDISONA 02  ,NIE
871,EKSPRESOWA 01  ,TAK
872,EKSPRESOWA 02  ,TAK
873,EKSPRESOWA 04  ,TAK
874,ELBLĄSKA 01  ,NIE
875,ELBLĄSKA 02  ,NIE
876,ELBLĄSKA 04  ,NIE
877,ELEKCYJNA 01  ,NIE
878,ELEKCYJNA 02  ,NIE
879,ELEKCYJNA 03  ,NIE
880,ELEKCYJNA 04  ,NIE
881,ELSNERÓW 01  ,NIE
882,EMILII PLATER 01  ,NIE
883,EMILII PLATER 04  ,TAK
884,EMILII PLATER 05  ,TAK
885,EMILII PLATER 06  ,TAK
886,ENERGETYCZNA 01  ,TAK
887,ENERGETYCZNA 01  ,NIE
888,ENERGETYCZNA 02  ,NIE
889,ENERGETYCZNA 02  ,NIE
890,ŻERAŃ FSO 01  ,NIE
891,ŻERAŃ FSO 02  ,NIE
892,ŻERAŃ FSO 08  ,NIE
893,ŻERAŃ FSO 09  ,NIE
894,ŻERAŃ FSO 10  ,NIE
895,ŻERAŃ FSO 11  ,NIE
896,ŻERAŃ FSO 12  ,NIE
897,ŻERAŃ FSO 13  ,NIE
898,ŻERAŃ FSO 14  ,NIE
899,ŻERAŃ FSO 53  ,NIE
900,ŻERAŃ FSO 54  ,NIE
901,ŻERAŃ WSCHODNI 01  ,NIE
902,ŻERAŃ WSCHODNI 02  ,NIE
903,ERAZMA Z ZAKROCZYMIA 01  ,TAK
904,ERAZMA Z ZAKROCZYMIA 02  ,TAK
905,ŻEROMSKIEGO 03  ,NIE
906,ŻEROMSKIEGO 04  ,NIE
907,ŻEROMSKIEGO 05  ,NIE
908,ŻEROMSKIEGO 06  ,NIE
909,ESKULAPÓW 01  ,NIE
910,ESKULAPÓW 02  ,NIE
911,ESPERANTO 01  ,NIE
912,ESPERANTO 02  ,NIE
913,ESPERANTO 03  ,NIE
914,ESPERANTO 05  ,NIE
915,EUROPEJSKA 01  ,NIE
916,EUROPEJSKA 02  ,NIE
917,FABRYCZNA 01  ,NIE
918,FABRYCZNA 01  ,NIE
919,FABRYCZNA 02  ,NIE
920,FABRYCZNA 02  ,NIE
921,FABRYKA POMP 01  ,NIE
922,FABRYKA POMP 02  ,NIE
923,FALENCKA 02  ,NIE
924,FALENICA 01  ,NIE
925,FALENICA 02  ,NIE
926,FALENICA 03  ,NIE
927,FALENICA 05  ,NIE
928,FALENTY DUŻE 02  ,NIE
929,FALENTY NOWE 01  ,NIE
930,FALENTY-OSIEDLE 01  ,NIE
931,FARADAYA 01  ,NIE
932,FARADAYA 02  ,NIE
933,FELIŃSKIEGO 52,NIE
934,FIELDORFA 01  ,NIE
935,FIELDORFA 01  ,NIE
936,FIELDORFA 02  ,NIE
937,FIGOWA 01  ,NIE
938,FIGOWA 02  ,NIE
939,FLETNIOWA 01  ,NIE
940,FLETNIOWA 02  ,NIE
941,FLORIANA 02  ,NIE
942,FOKSAL 01  ,NIE
943,FOKSAL 02  ,NIE
944,FORT BEMA 01  ,NIE
945,FORT BEMA 02  ,NIE
946,FORT BLIZNE 01  ,NIE
947,FORT BLIZNE 02  ,NIE
948,FORTOWA 01  ,NIE
949,FORTOWA 02  ,NIE
950,FORT RADIOWO 01  ,NIE
951,FORT WAWRZYSZEW 02  ,NIE
952,FORT WOLA 01  ,NIE
953,FORT WOLA 02  ,NIE
954,FORT WOLA 03  ,NIE
955,FORT WOLA 04  ,NIE
956,FRANCISZKAŃSKA 02  ,NIE
957,GALLA ANONIMA 01  ,NIE
958,GALLA ANONIMA 02  ,NIE
959,GARBATKA 01  ,NIE
960,GARWOLIŃSKA 01  ,NIE
961,GARWOLIŃSKA 02  ,NIE
962,GAZOWNIA 01  ,NIE
963,GAZOWNIA 02  ,NIE
964,GŁĘBOCKA 01  ,NIE
965,GŁĘBOCKA 02  ,NIE
966,GDECKA 01  ,NIE
967,GDECKA 02  ,NIE
968,GEN.KUTRZEBY 01  ,NIE
969,GEN.KUTRZEBY 02  ,NIE
970,GEN.MACZKA 01  ,NIE
971,GEN.MACZKA 02  ,NIE
972,GEN.MACZKA 03  ,NIE
973,GEN.MACZKA 04  ,NIE
974,GEN.ROI 01  ,NIE
975,GEN.ROI 02  ,NIE
976,GEN.ZAJĄCZKA 01  ,NIE
977,GEN.ZAJĄCZKA 02  ,NIE
978,ŁĘGI 01  ,NIE
979,ŁĘGI 02  ,NIE
980,GIERDZIEJEWSKIEGO 01  ,NIE
981,GIERDZIEJEWSKIEGO 02  ,NIE
982,GILARSKA 01  ,NIE
983,GILARSKA 02  ,NIE
984,GILARSKA 03  ,NIE
985,GLEBOWA 01  ,NIE
986,GLEBOWA 02  ,NIE
987,GLINIANKA 01  ,NIE
988,GLINIANKA 02  ,NIE
989,GMINNEJ RADY NARODOWEJ 01,NIE
990,GMINNEJ RADY NARODOWEJ 02,NIE
991,GNIEWKOWSKA 01  ,NIE
992,GNIEWKOWSKA 02  ,NIE
993,GOŁASZEWSKA 01  ,NIE
994,GOŁASZEWSKA 04  ,NIE
995,GOCŁAW 01  ,NIE
996,GOCŁAW 02  ,NIE
997,GOCŁAW 03  ,NIE
998,GOCŁAW 05  ,NIE
999,GOCŁAW 06  ,NIE
1000,GOCŁAW 07  ,NIE
1001,GOCŁAW 08  ,NIE
1002,GOCŁAW 09  ,NIE
1003,GOCŁAW 10  ,NIE
1004,GOCŁAWEK 01  ,NIE
1005,GOCŁAWEK 02  ,NIE
1006,GOCŁAWEK 03  ,NIE
1007,GOCŁAWEK 04  ,NIE
1008,GOCŁAWEK 05  ,NIE
1009,GOCŁAWEK 07  ,NIE
1010,GOCŁAWEK WSCHODNI 01  ,NIE
1011,GOCŁAWSKA 01  ,NIE
1012,GOCŁAWSKA 02  ,NIE
1013,GOCŁAWSKA 03  ,NIE
1014,GOCŁAWSKA 04  ,NIE
1015,GOŚCIERADOWSKA 01  ,NIE
1016,GOŚCIERADOWSKA 02  ,NIE
1017,GODEBSKIEGO 01,NIE
1018,GŁOGI 01  ,NIE
1019,GŁOGI 02  ,NIE
1020,GOŁKOWSKA 01  ,NIE
1021,GOŁKOWSKA 02  ,NIE
1022,GOŁKOWSKA 03  ,NIE
1023,GOŁKÓW-LETNISKO 01  ,NIE
1024,GOŁKÓW-LETNISKO 02  ,NIE
1025,GOŁKÓW-WIEŚ 01  ,NIE
1026,GOŁKÓW-WIEŚ 02  ,NIE
1027,GOLĘDZINÓW 01  ,NIE
1028,GOLĘDZINÓW 02  ,NIE
1029,GONTARSKA 01  ,NIE
1030,GONTARSKA 02  ,NIE
1031,GORASZEWSKA 01  ,NIE
1032,GORASZEWSKA 02  ,NIE
1033,GORASZEWSKA 03  ,NIE
1034,GORASZEWSKA 04  ,NIE
1035,GORZYKOWSKA 01  ,NIE
1036,GORZYKOWSKA 02  ,NIE
1037,GORZYKOWSKA 04  ,NIE
1038,GŁOSKÓW-LETNISKO 02  ,NIE
1039,GŁOSKÓW-SZKOŁA 01  ,NIE
1040,GŁOSKÓW-SZKOŁA 02,NIE
1041,GŁOSKÓW-ZIELONE 02  ,NIE
1042,GOSZCZYŃSKIEGO 01  ,NIE
1043,GOSZCZYŃSKIEGO 02  ,NIE
1044,GOTARDA 01  ,NIE
1045,GOTARDA 02  ,NIE
1046,GŁOWACKIEGO 01  ,NIE
1047,GŁOWACKIEGO 02  ,NIE
1048,GRABALÓWKI 01  ,NIE
1049,GRABALÓWKI 02  ,NIE
1050,GRABINA 01  ,NIE
1051,GRABINA 02  ,NIE
1052,GRABÓW 01  ,NIE
1053,GRABÓW 02  ,NIE
1054,GÓRALSKA 01  ,NIE
1055,GÓRALSKA 02  ,NIE
1056,GRAND HOTEL 01  ,TAK
1057,GRAND HOTEL 02  ,TAK
1058,GRANICZNA 01,NIE
1059,GRANICZNA 01  ,NIE
1060,GRANICZNA 01  ,NIE
1061,GRANICZNA 01  ,NIE
1062,GRANICZNA 01  ,NIE
1063,GRANICZNA 02,NIE
1064,GRANICZNA 02  ,NIE
1065,GRANICZNA 02  ,NIE
1066,GRANICZNA 02  ,NIE
1067,GRANICZNA 02  ,NIE
1068,GÓRASZKA 01  ,NIE
1069,GÓRASZKA 02  ,NIE
1070,GRÓDEK 01  ,NIE
1071,GRÓDEK 02  ,NIE
1072,GRENADIERÓW 01  ,NIE
1073,GRENADIERÓW 02  ,NIE
1074,GRENADIERÓW 03  ,NIE
1075,GRENADIERÓW 04  ,NIE
1076,GRENADY 01  ,NIE
1077,GRENADY 02  ,NIE
1078,GÓRKI 01  ,NIE
1079,GÓRKI 01  ,NIE
1080,GÓRKI 02  ,NIE
1081,GÓRNOŚLĄSKA 01  ,NIE
1082,GRODZIEŃSKA 02  ,NIE
1083,GRODZISK 01  ,NIE
1084,GRODZISK 02  ,NIE
1085,GRODZISK 03  ,NIE
1086,GROMADZKA 01,NIE
1087,GROSZÓWKA 01  ,NIE
1088,GROSZÓWKA 02  ,NIE
1089,GROTY 01  ,NIE
1090,GROTY 02  ,NIE
1091,GRUNTOWA 01  ,NIE
1092,GRUNTOWA 02  ,NIE
1093,GRUSZCZYŃSKIEGO 01  ,NIE
1094,GRUSZY 01  ,NIE
1095,GRUSZY 02  ,NIE
1096,GRYFITÓW 01  ,NIE
1097,GRYFITÓW 02  ,NIE
1098,GRZEGORZEWSKIEJ 01  ,NIE
1099,GRZEGORZEWSKIEJ 02  ,NIE
1100,GRZYBOWA 01  ,NIE
1101,GRZYBOWA 01  ,NIE
1102,GRZYBOWA 02  ,NIE
1103,GRZYBOWA 02  ,NIE
1104,GRZYMALITÓW 01  ,TAK
1105,GRZYMALITÓW 02  ,TAK
1106,GRZYMAŁY-SOKOŁOWSKIEGO 01  ,NIE
1107,GRZYMAŁY-SOKOŁOWSKIEGO 02  ,NIE
1108,GRZYMAŁY-SOKOŁOWSKIEGO 03  ,NIE
1109,GRZYMAŁY-SOKOŁOWSKIEGO 04  ,NIE
1110,GRZYMAŁY-SOKOŁOWSKIEGO 05  ,NIE
1111,GRZYMAŁY-SOKOŁOWSKIEGO 06  ,NIE
1112,GĄSEK 01  ,NIE
1113,GĄSEK 02  ,NIE
1114,GĄSOCIŃSKA 01  ,NIE
1115,GĄSOCIŃSKA 02  ,NIE
1116,GUS 01  ,NIE
1117,GUS 02  ,NIE
1118,GUS 03  ,NIE
1119,GUS 04  ,NIE
1120,GUS 05  ,NIE
1121,GUS 06  ,NIE
1122,GUS 08  ,NIE
1123,GWARKÓW 01  ,NIE
1124,GWARKÓW 02  ,NIE
1125,GWARNA 01  ,NIE
1126,GWARNA 02  ,NIE
1127,GWIA®DZISTA 01  ,NIE
1128,GWIA®DZISTA 02  ,NIE
1129,GWIA®DZISTA 04  ,NIE
1130,GWIA®DZISTA 05  ,NIE
1131,GWIA®DZISTA 06  ,NIE
1132,GŁÓWNA 01,NIE
1133,GŁÓWNA 01  ,NIE
1134,GŁÓWNA 01  ,NIE
1135,GŁÓWNA 02,NIE
1136,GŁÓWNA 02  ,NIE
1137,HALA KOPIŃSKA 01  ,NIE
1138,HALA KOPIŃSKA 02  ,NIE
1139,HALA KOPIŃSKA 04  ,NIE
1140,HALA MIROWSKA 01  ,NIE
1141,HALA MIROWSKA 02  ,NIE
1142,HALA MIROWSKA 03  ,NIE
1143,HALA MIROWSKA 04  ,NIE
1144,HALA SPORTOWA BEMOWO 01  ,NIE
1145,HALA SPORTOWA BEMOWO 02  ,NIE
1146,HALA SPORTOWA BEMOWO 03  ,NIE
1147,HALA WOLA 01  ,NIE
1148,HALA WOLA 02  ,TAK
1149,HALA WOLA 04  ,TAK
1150,HALA WOLA 05  ,NIE
1151,HALA WOLA 06  ,NIE
1152,HALE BANACHA 01  ,NIE
1153,HALE BANACHA 02  ,NIE
1154,HALLERA 01,NIE
1155,HALLERA 01  ,NIE
1156,HALLERA 02,NIE
1157,HALLERA 02  ,NIE
1158,HANDLOWA 01  ,NIE
1159,HANDLOWA 02  ,NIE
1160,HANDLOWA 03  ,NIE
1161,HANKI ORDONÓWNY 01  ,NIE
1162,HANKI ORDONÓWNY 02  ,NIE
1163,HARFOWA 01  ,NIE
1164,HARNASIE 01  ,NIE
1165,HŁASKI 01  ,NIE
1166,HŁASKI 02  ,NIE
1167,HENRYKA PROBUSA 01  ,NIE
1168,HENRYKÓW 01  ,TAK
1169,HENRYKÓW 02  ,TAK
1170,HENRYKÓW 03  ,TAK
1171,HENRYKÓW 04  ,TAK
1172,HENRYKÓW-UROCZE 01,NIE
1173,HERBSTA 01  ,NIE
1174,HERBSTA 02  ,NIE
1175,HERBSTA 03  ,NIE
1176,HETMAŃSKA 01  ,NIE
1177,HETMAŃSKA 02  ,NIE
1178,HIPODROM 01  ,NIE
1179,HIPODROM 02  ,NIE
1180,HOŻA 01  ,TAK
1181,HOŻA 02  ,TAK
1182,HOŻA 02  ,NIE
1183,HOŻA 03  ,NIE
1184,HOŻA 03  ,NIE
1185,HOŻA 04  ,NIE
1186,HORBACZEWSKIEGO 01  ,NIE
1187,HORBACZEWSKIEGO 02  ,NIE
1188,HORNÓWEK 01  ,NIE
1189,HORNÓWEK 02  ,NIE
1190,HORTENSJI 01  ,NIE
1191,HORTENSJI 02  ,NIE
1192,HOSERÓW 01  ,NIE
1193,HOSERÓW 02  ,NIE
1194,HOSPICJUM ONKOLOGICZNE 01  ,NIE
1195,HOSPICJUM ONKOLOGICZNE 02  ,NIE
1196,HOTEL BRISTOL 01  ,NIE
1197,HOTEL BRISTOL 02  ,NIE
1198,HOTELOWA 01  ,NIE
1199,HOTELOWA 02  ,NIE
1200,HOŁUBCOWA 01  ,NIE
1201,HOŁUBCOWA 02  ,NIE
1202,HRABSKA DROGA 01  ,NIE
1203,HUBALA-DOBRZAŃSKIEGO 01  ,NIE
1204,HUSARSKA 01  ,NIE
1205,HUSARSKA 02  ,NIE
1206,HUTNICZA 01  ,NIE
1207,HUTNICZA 02  ,NIE
1208,HYNKA 01  ,NIE
1209,HYNKA 02  ,NIE
1210,HYNKA 03  ,NIE
1211,HYNKA 04  ,NIE
1212,HYNKA 05  ,NIE
1213,HYNKA 06  ,NIE
1214,IDZIKOWSKIEGO 01  ,NIE
1215,IDZIKOWSKIEGO 02  ,NIE
1216,IMUZ 01  ,NIE
1217,INFLANCKA 01  ,NIE
1218,INFLANCKA 02  ,NIE
1219,INOWŁODZKA 03  ,NIE
1220,INOWŁODZKA 04  ,NIE
1221,INSTALATORÓW 01  ,NIE
1222,INSTALATORÓW-KIS 01  ,NIE
1223,INSTALATORÓW-KIS 02  ,NIE
1224,INSTRUKTORSKA 01  ,NIE
1225,INSTRUKTORSKA 02  ,NIE
1226,INSTYTUT ENERGETYKI 01  ,NIE
1227,INSTYTUT ENERGETYKI 02  ,NIE
1228,INSTYTUT FIZYKI 01  ,NIE
1229,INSTYTUT FIZYKI 02  ,NIE
1230,INSTYTUT FIZYKI 03  ,NIE
1231,INSTYTUT HEMATOLOGII 01  ,NIE
1232,INSTYTUT HEMATOLOGII 02  ,NIE
1233,INSTYTUT HEMATOLOGII 03  ,NIE
1234,INSTYTUT KARDIOLOGII 01  ,NIE
1235,INSTYTUT KARDIOLOGII 02  ,NIE
1236,INSTYTUT NEUROLOGII 01  ,NIE
1237,INSTYTUT NEUROLOGII 02  ,NIE
1238,INSTYTUT REUMATOLOGII 01  ,NIE
1239,INSTYTUT SZKŁA 02  ,NIE
1240,INSUREKCJI 01  ,NIE
1241,INSUREKCJI 02  ,NIE
1242,INŻYNIERSKA 01  ,NIE
1243,INŻYNIERSKA 02  ,NIE
1244,INŻYNIERSKA 03  ,NIE
1245,INŻYNIERSKA 04  ,NIE
1246,INŻYNIERSKA 05  ,NIE
1247,INŻYNIERSKA 06  ,NIE
1248,ISKRY 02  ,NIE
1249,IWICKA 01  ,NIE
1250,IWICKA 02  ,NIE
1251,IWICZNA 01  ,NIE
1252,IWICZNA 02  ,NIE
1253,IX POPRZECZNA 01  ,NIE
1254,IX POPRZECZNA 02  ,NIE
1255,IZBICKA-CMENTARZ 02  ,NIE
1256,IZBICKA-CMENTARZ 03  ,NIE
1257,IZBICKA-CMENTARZ 04  ,NIE
1258,JACHOWICZA 01  ,NIE
1259,JACHTOWA 01  ,NIE
1260,JACHTOWA 02  ,NIE
1261,JAD®WINGÓW 01  ,NIE
1262,JAD®WINGÓW 02  ,NIE
1263,JADWISIN 01  ,NIE
1264,JADWISIN 02  ,NIE
1265,JAGIELLOŃSKA 01  ,NIE
1266,JAGIELLOŃSKA 02  ,NIE
1267,JAGIELSKA 01  ,NIE
1268,JAGIELSKA 02  ,NIE
1269,JANA OLBRACHTA 01  ,NIE
1270,JANA OLBRACHTA 02  ,NIE
1271,JANA OLBRACHTA 03  ,NIE
1272,JANCZEWICE 01,NIE
1273,JANCZEWICE 02,NIE
1274,JANIN 01  ,NIE
1275,JANIN 02  ,NIE
1276,JANKI 01  ,NIE
1277,JANKI 02  ,NIE
1278,JANKI MAŁE 01  ,NIE
1279,JANKI MAŁE 02  ,NIE
1280,JANOWSKIEGO 01  ,NIE
1281,JANÓW 01  ,NIE
1282,JANÓW 02  ,NIE
1283,JARA 01  ,NIE
1284,JARA 02  ,NIE
1285,JARACZA 01  ,NIE
1286,JARACZA 02  ,NIE
1287,JAROSŁAWSKA 01  ,NIE
1288,JAROSŁAWSKA 02  ,NIE
1289,JARZĘBINOWA 01  ,NIE
1290,JARZĘBINOWA 02  ,NIE
1291,JASIELSKA 01  ,NIE
1292,JASNA 01  ,NIE
1293,JASNA 01  ,NIE
1294,JASNA 02  ,NIE
1295,JASNA 02  ,NIE
1296,JASTRZĘBIEC 01,NIE
1297,JAWCZYCE 01  ,NIE
1298,JAWCZYCE 02  ,NIE
1299,JAWORÓWKA 01  ,NIE
1300,JERZEGO 01  ,NIE
1301,JERZEGO 02  ,NIE
1302,JESIONOWA 01,NIE
1303,JESIONOWA 02,NIE
1304,JESIOTROWA 01  ,NIE
1305,JESIOTROWA 02  ,NIE
1306,JESÓWKA 01,NIE
1307,JESÓWKA 02,NIE
1308,JEZIORKO CZERNIAKOWSKIE 01  ,NIE
1309,JEZIORKO CZERNIAKOWSKIE 02  ,NIE
1310,JEZIOROWA 01  ,NIE
1311,JEZIOROWA 02  ,NIE
1312,JODŁOWA 02  ,NIE
1313,JOLIOT-CURIE 01  ,NIE
1314,JOLIOT-CURIE 02  ,NIE
1315,JONTKA 01  ,NIE
1316,JONTKA 02  ,NIE
1317,JÓRSKIEGO 01  ,NIE
1318,JÓRSKIEGO 02  ,NIE
1319,JÓRSKIEGO 04  ,NIE
