,Lp.,Przystanek
150,ATEŃSKA 51  ,NIE
151,AUGUSTÓWKA 01  ,NIE
152,AUGUSTÓWKA 02  ,NIE
153,AWF 01  ,NIE
154,AWF 02  ,NIE
155,AWF 03  ,NIE
156,AWF 04  ,NIE
157,AWF 06  ,NIE
158,ŁAZIENKI KRÓLEWSKIE 01  ,NIE
159,ŁAZIENKI KRÓLEWSKIE 02  ,NIE
160,ŁAZY 01  ,NIE
161,ŁAZY 02  ,NIE
162,ŁAZY 03,NIE
163,ŁAZY-SZKOŁA 01,NIE
164,ŁAZY-SZKOŁA 02,NIE
165,BAJECZNA 01,NIE
166,BAJECZNA 02,NIE
167,BALETOWA 01  ,NIE
168,BALETOWA 02  ,NIE
169,BALEYA 01  ,NIE
170,BALEYA 02  ,NIE
171,BALKONOWA 02  ,NIE
172,BALKONOWA 04  ,NIE
173,BANACHA 01  ,NIE
174,BANACHA 02  ,NIE
175,BANACHA 03  ,NIE
176,BANACHA 04  ,NIE
177,BANACHA 05  ,NIE
178,BANACHA 06  ,NIE
179,BANACHA 07  ,NIE
180,BANACHA-SZPITAL 01  ,NIE
181,BANACHA-SZPITAL 02  ,NIE
182,BANACHA-SZPITAL 04  ,NIE
183,BANDURSKIEGO 01  ,NIE
184,BANDURSKIEGO 02  ,NIE
185,BAREI 01  ,NIE
186,BAREI 02  ,NIE
187,BARSZCZEWSKA 01  ,NIE
188,BARSZCZEWSKA 02  ,NIE
189,BARTNICZA 01  ,NIE
190,BARTNICZA 02  ,NIE
191,BARTNICZA 04  ,NIE
192,BARTŁOMIEJA 01  ,NIE
193,BARTŁOMIEJA 02  ,NIE
194,BARTOSZKA 01  ,NIE
195,BARTOSZKA 02  ,NIE
196,BARTOSZKA 04  ,NIE
197,BARTOSZYCKA 01  ,NIE
198,BARTYCKA 01  ,NIE
199,BARTYCKA 02  ,NIE
200,BARTYCKA 03  ,NIE
201,BARTYCKA 05  ,NIE
202,BARTYKI 01  ,NIE
203,BARTYKI 02  ,NIE
204,BASENY INFLANCKA 01  ,NIE
205,BASENY INFLANCKA 02  ,NIE
206,BASENY INFLANCKA 03  ,NIE
207,BASENY INFLANCKA 04  ,NIE
208,BASZKÓWKA 02,NIE
209,BATALIONU PLATERÓWEK 01  ,NIE
210,BATALIONU PLATERÓWEK 02  ,NIE
211,BATALIONÓW CHŁOPSKICH 01  ,NIE
212,BATALIONÓW CHŁOPSKICH 02  ,NIE
213,BATOREGO 01  ,NIE
214,BATOREGO 01  ,NIE
215,BATOREGO 02  ,NIE
216,BATOREGO 02  ,NIE
217,BATUMI 01  ,NIE
218,BATUMI 02  ,NIE
219,BAZYLIAŃSKA 01  ,NIE
220,BAZYLIAŃSKA 03  ,NIE
221,BAZYLIAŃSKA 04  ,NIE
222,BEŁDAN 01  ,NIE
223,BEŁDAN 02  ,NIE
224,BEŁDAN 03  ,NIE
225,BEŁDAN 04  ,NIE
226,BELGRADZKA 01  ,NIE
227,BELGRADZKA 02  ,NIE
228,BELGRADZKA 04  ,NIE
229,BEMOWO-RATUSZ 01  ,NIE
230,BEMOWO-RATUSZ 02  ,NIE
231,BEMOWO-RATUSZ 04  ,NIE
232,BEMOWO-RATUSZ 05  ,NIE
233,BEMOWO-RATUSZ 06  ,NIE
234,BENNETTA 02  ,TAK
235,BERENSONA 01  ,NIE
236,BERENSONA 02  ,NIE
237,BERENSONA 03  ,NIE
238,BERESTECKA 01  ,NIE
239,BERESTECKA 02  ,NIE
240,BEREZYŃSKA 01  ,NIE
241,BEREZYŃSKA 02  ,NIE
242,BEŁZY 01  ,NIE
243,BEŁZY 02  ,NIE
244,BEŁZY 03  ,NIE
245,BIAŁOBRZEGI 01  ,NIE
246,BIAŁOBRZEGI 02  ,NIE
247,BIAŁOBRZESKA 01  ,NIE
248,BIAŁOBRZESKA 02  ,NIE
249,BIAŁOŁĘKA 01  ,NIE
250,BIAŁOŁĘKA 02  ,NIE
251,BIAŁOŁĘKA DWORSKA 01  ,NIE
252,BIAŁOŁĘKA-KANAŁ 01  ,NIE
253,BIAŁOŁĘKA-KANAŁ 02  ,NIE
254,BIAŁOŁĘKA-RATUSZ 01  ,TAK
255,BIAŁOŁĘKA-RATUSZ 02  ,TAK
256,BIAŁOŁĘKA-RATUSZ 03  ,TAK
257,BIAŁOWIEJSKA 01  ,NIE
258,BIAŁOWIEJSKA 02  ,NIE
259,BIBLIOTEKA NARODOWA 01  ,NIE
260,BIBLIOTEKA NARODOWA 02  ,NIE
261,BIBLIOTEKA NARODOWA 03  ,NIE
262,BIBLIOTEKA NARODOWA 04  ,NIE
263,BIBLIOTEKA UNIWERSYTECKA 01  ,NIE
264,BIBLIOTEKA UNIWERSYTECKA 02  ,NIE
265,BIELANY-RATUSZ 01  ,NIE
266,BIELANY-RATUSZ 02  ,NIE
267,BIELANY-RATUSZ 03  ,NIE
268,BIELANY-RATUSZ 04  ,NIE
269,BIELANY-RATUSZ 05  ,NIE
270,BIELSZOWICKA 01  ,NIE
271,BIELSZOWICKA 02  ,NIE
272,BITWY WARSZAWSKIEJ 1920 01  ,NIE
273,BITWY WARSZAWSKIEJ 1920 02  ,NIE
274,BITWY WARSZAWSKIEJ 1920 03  ,NIE
275,BITWY WARSZAWSKIEJ 1920 04  ,NIE
276,BITWY WARSZAWSKIEJ 1920 05  ,NIE
277,BITWY WARSZAWSKIEJ 1920 06  ,NIE
278,BITWY WARSZAWSKIEJ 1920 07  ,NIE
279,BĄKÓWKA 01  ,NIE
280,BLISKA 01  ,NIE
281,BLISKA 02  ,NIE
282,BLISKA 03  ,NIE
283,BLISKA 04  ,NIE
284,BLIZNE ŁASZCZYŃSKIEGO 01  ,NIE
285,BLIZNE ŁASZCZYŃSKIEGO 02  ,NIE
286,BLIZNE ŁASZCZYŃSKIEGO 04  ,NIE
